"﻿SIGLA";"NOMBRE PROYECTO";"TIPO INNOVACION";"año";"conv";"SEMESTRE";"FRENTE";"multi";"CODIGO CURSO";"CURSO";"PROG CURSO";"DEPTO CURSO";"FAC CURSO";"CRN";"SECC";"PERIOD";"SUB PER";"FASE ACOMPAÑAMIENTO PED";"NOMBRE PROFESOR";"CORREO PROFESOR";
"CTE-158";"Proyecto Cte-159";"INNOVACION EN CURSO PRESENCIALES";"2018";"2014";"201810";"1IP";"";"COD163";"Curso162";"ARTE";"ARTE";"ARTES Y HUMANIDADES";"CRN-17866";"1";"201810";"1";"IMPLEMENTACION";"Nombre profesor156";"Login profesor155";
"CTE-158";"Proyecto Cte-159";"INNOVACION EN CURSO PRESENCIALES";"2018";"2014";"201820";"1IP";"";"COD163";"Curso162";"ARTE";"ARTE";"ARTES Y HUMANIDADES";"CRN-18172";"1";"201820";"1";"IMPLEMENTACION";"Nombre profesor156";"Login profesor155";
"CTE-190";"Proyecto Cte-191";"INNOVACION EN CURSO PRESENCIALES";"2018";"2014";"201810";"1IP";"";"COD192";"Curso189";"INGENIERIA QUIMICA";"INGENIERIA QUIMICA";"INGENIERIA";"CRN-17930";"1";"201810";"1";"IMPLEMENTACION";"Nombre profesor188";"Login profesor187";
"CTE-190";"Proyecto Cte-191";"INNOVACION EN CURSO PRESENCIALES";"2018";"2014";"201820";"1IP";"";"COD192";"Curso189";"INGENIERIA QUIMICA";"INGENIERIA QUIMICA";"INGENIERIA";"CRN-18266";"1";"201820";"1";"IMPLEMENTACION";"Nombre profesor188";"Login profesor187";
"CTE-224";"Proyecto Cte-225";"INNOVACION EN CURSO PRESENCIALES";"2018";"2014";"201810";"1IP";"";"COD226";"Curso223";"INGENIERIA INDUSTRIAL";"INGENIERIA INDUSTRIAL";"INGENIERIA";"CRN-17928";"1";"201810";"1";"IMPLEMENTACION";"Nombre profesor222";"Login profesor221";
"CTE-224";"Proyecto Cte-225";"INNOVACION EN CURSO PRESENCIALES";"2018";"2014";"201820";"1IP";"";"COD226";"Curso223";"INGENIERIA INDUSTRIAL";"INGENIERIA INDUSTRIAL";"INGENIERIA";"CRN-18263";"1";"201820";"1";"IMPLEMENTACION";"Nombre profesor222";"Login profesor221";
"CTE-235";"Proyecto Cte-16873";"INNOVACION EN CURSO PRESENCIALES";"2018";"2014";"201810";"1IP";"";"COD237";"Curso234";"INGENIERIA INDUSTRIAL";"INGENIERIA INDUSTRIAL";"INGENIERIA";"CRN-17927";"2";"201810";"1";"IMPLEMENTACION";"Nombre profesor233";"Login profesor232";
"CTE-235";"Proyecto Cte-16873";"INNOVACION EN CURSO PRESENCIALES";"2018";"2014";"201810";"1IP";"";"COD237";"Curso234";"INGENIERIA INDUSTRIAL";"INGENIERIA INDUSTRIAL";"INGENIERIA";"CRN-18136";"1";"201819";"1";"IMPLEMENTACION";"Nombre profesor233";"Login profesor232";
"CTE-249";"Proyecto Cte-250";"INNOVACION EN CURSO PRESENCIALES";"2018";"2014";"201810";"1IP";"";"COD251";"Curso248";"DERECHO";"DERECHO";"DERECHO";"CRN-17905";"3";"201810";"1";"IMPLEMENTACION";"Nombre profesor247";"Login profesor246";
"CTE-288";"Proyecto Cte-289";"INNOVACION EN CURSO PRESENCIALES";"2018";"2014";"201820";"1IP";"";"COD290";"Curso287";"ING.  ELECTRICA Y ELECTRONICA";"INGEN. ELECTRICA Y ELECTRONICA";"INGENIERIA";"CRN-18257";"1";"201820";"1";"IMPLEMENTACION";"Nombre profesor286";"Login profesor285";
"CTE-288";"Proyecto Cte-289";"INNOVACION EN CURSO PRESENCIALES";"2018";"2014";"201820";"1IP";"";"COD290";"Curso287";"ING.  ELECTRICA Y ELECTRONICA";"INGEN. ELECTRICA Y ELECTRONICA";"INGENIERIA";"CRN-24238";"1";"201820";"1";"IMPLEMENTACION";"Nombre profesor286";"Login profesor285";
"CTE-298";"Proyecto Cte-299";"INNOVACION EN CURSO PRESENCIALES";"2018";"2015";"201810";"1IP";"";"COD300";"Curso297";"BIOLOGIA";"BIOLOGIA";"CIENCIAS";"CRN-17867";"1";"201810";"1";"PILOTO";"Nombre profesor296";"Login profesor295";
"CTE-298";"Proyecto Cte-299";"INNOVACION EN CURSO PRESENCIALES";"2018";"2015";"201820";"1IP";"";"COD300";"Curso297";"BIOLOGIA";"BIOLOGIA";"CIENCIAS";"CRN-18173";"1";"201820";"1";"PILOTO";"Nombre profesor296";"Login profesor295";
"CTE-307";"Proyecto Cte-308";"INNOVACION EN CURSO PRESENCIALES";"2018";"2015";"201810";"1IP";"";"COD16883";"Curso16882";"ADMINISTRACION";"ADMINISTRACION";"ADMINISTRACION";"CRN-17875";"1";"201810";"1";"IMPLEMENTACION";"Nombre profesor16881";"Login profesor16880";
"CTE-307";"Proyecto Cte-308";"INNOVACION EN CURSO PRESENCIALES";"2018";"2015";"201820";"1IP";"";"COD16883";"Curso16882";"ADMINISTRACION";"ADMINISTRACION";"ADMINISTRACION";"CRN-18212";"1";"201820";"1";"IMPLEMENTACION";"Nombre profesor16881";"Login profesor16880";
"CTE-315";"Proyecto Cte-316";"INNOVACION EN CURSO PRESENCIALES";"2018";"2015";"201810";"1IP";"";"COD317";"Curso314";"EDUCACION";"CENTRO INVESTIG.FORMAC.EDUCAC.";"EDUCACION";"CRN-17911";"1";"201810";"1";"IMPLEMENTACION";"Nombre profesor313";"Login profesor312";
"CTE-331";"Proyecto Cte-332";"INNOVACION EN CURSO PRESENCIALES";"2018";"2015";"201810";"1IP";"";"COD333";"Curso330";"MEDICINA";"MEDICINA";"MEDICINA";"CRN-18117";"1";"201810";"3";"IMPLEMENTACION";"Nombre profesor16886";"Login profesor328";
"CTE-331";"Proyecto Cte-332";"INNOVACION EN CURSO PRESENCIALES";"2018";"2015";"201820";"1IP";"";"COD333";"Curso330";"MEDICINA";"MEDICINA";"MEDICINA";"CRN-18554";"1";"201820";"3";"IMPLEMENTACION";"Nombre profesor16886";"Login profesor328";
"CTE-341";"Proyecto Cte-342";"INNOVACION EN CURSO PRESENCIALES";"2018";"2015";"201810";"1IP";"";"COD343";"Curso340";"INGENIERIA QUIMICA";"INGENIERIA QUIMICA";"INGENIERIA";"CRN-17929";"1";"201810";"1";"IMPLEMENTACION";"Nombre profesor345";"Login profesor344";
"CTE-341";"Proyecto Cte-342";"INNOVACION EN CURSO PRESENCIALES";"2018";"2015";"201820";"1IP";"";"COD343";"Curso340";"INGENIERIA QUIMICA";"INGENIERIA QUIMICA";"INGENIERIA";"CRN-18264";"1";"201820";"1";"IMPLEMENTACION";"Nombre profesor345";"Login profesor344";
